Reporting Period,Project Number,Legacy Project Number,City
5/30/21,36918,5321-71164,Commack
5/30/21,20068,4704-51855,New Hyde Park
5/30/21,93236,,Saint Albans
5/30/21,63970,5138-97246,Oswego
5/30/21,61444,4704-88303,Bay Shore
5/30/21,54404,5153-64553,East Moriches
5/30/21,213896,,Queens
5/30/21,302883,,Pleasantville
5/30/21,90526,,Utica
5/30/21,215454,,Queens
5/30/21,163554,,Dunkirk
5/30/21,47331,4704-81883,Albany
5/30/21,37527,5347-71281,Queens
5/30/21,2014-645756-Sola,,Mastic Beach
5/30/21,60970,4704-85678,Greenwood Lake
5/30/21,144776,,Pelham
5/30/21,120505,,Lakewood
5/30/21,93998,,Queens
5/30/21,302368,,Sloatsburg
5/30/21,8506,4704-73105,Schenectady
5/30/21,123248,,Bliss
5/30/21,90182,,Harriman
5/30/21,239675,,Delmar
5/30/21,43987,4594-76990,Riverhead
5/30/21,64524,5373-98568,Newburgh
5/30/21,42980,4704-87835,Port Jefferson Station
5/30/21,83968,,Middletown
5/30/21,118495,,Cortlandt
5/30/21,135695,,Clayton
5/30/21,58885,4704-78973,Hawthorne
5/30/21,226515,,jamaica
5/30/21,11827,4604-28072,Glenville
5/30/21,260942,,FLUSHING
5/30/21,166327,,Queens
5/30/21,57808,4704-76815,Franklin Square
5/30/21,93506,,Jamaica
5/30/21,79566,,Brooklyn
5/30/21,65250,4704-100667,Blauvelt
5/30/21,164028,,Brooklyn
5/30/21,65190,5125-100867,Canandaigua
5/30/21,41612,4704-82997,Kerhonkson
5/30/21,88658,,Queens
5/30/21,175493,,Brooklyn
5/30/21,234406,,Queens
5/30/21,56503,5081-79471-GJ,Lindenhurst
5/30/21,2014-663281-Sola,,Bay Shore
5/30/21,153661,,Yonkers
5/30/21,40440,4704-79852,Wappingers Falls
5/30/21,122187,,BRONX
5/30/21,235710,,Queens
5/30/21,278828,,Brooklyn
5/30/21,257462,,Pomona
5/30/21,63277,5171-94270,Jamaica
5/30/21,58963,4704-79351,Bay Shore
5/30/21,184224,,Staten Island
5/30/21,40383,5194-82175-GJ,Mastic
5/30/21,89559,,Scottsville
5/30/21,83427,,Brooklyn
5/30/21,45144,4006-94274,Binghamton
5/30/21,67376,5142-81687-GJ,Bay Shore
5/30/21,181253,,QUEENS
5/30/21,167230,,Brooklyn
5/30/21,225497,,queens
5/30/21,36658,4376-69348-GJ,Oceanside
5/30/21,65061,4704-100231,Gansevoort
5/30/21,43018,5352-87370,Bloomfield
5/30/21,234684,,Flushing
5/30/21,157406,,Yonkers
5/30/21,7178,4704-58336,East Meadow
5/30/21,92746,,COHOES
5/30/21,164217,,Ossining
5/30/21,301717,,Bronx
5/30/21,156761,,Washingtonville
5/30/21,65627,4704-101656,Washingtonville
5/30/21,54807,4376-65352-GJ,Farmingdale
5/30/21,7243,5159-60282,Medford
5/30/21,251558,,Angola
5/30/21,113284,,Brooklyn
5/30/21,108898,,Scottsville
5/30/21,50378,4160-68243,Southampton
5/30/21,127821,,Bronx
5/30/21,46417,4704-98468,Cohoes
5/30/21,15987,4704-47016,Glen Cove
5/30/21,99893,,Brooklyn
5/30/21,234829,,Brooklyn
5/30/21,192477,,"Roseboom,"
5/30/21,31618,5098-55113,Coram
5/30/21,63059,5397-99391,Schenectady
5/30/21,68252,,Cooperstown
5/30/21,7269,4704-60105,West Babylon
5/30/21,10090,4355-93565-GJ,Sayville
5/30/21,56429,4704-70466,Ronkonkoma
5/30/21,69858,,Jamaica
5/30/21,65857,5171-696,Queens Village
5/30/21,61893,5098-92098,Brentwood
5/30/21,232336,,Lindenhurst
5/30/21,47563,5427-101711,Bronx
5/30/21,42316,5293-86344-GJ,Merrick
5/30/21,20937,5098-53724,Central Islip
5/30/21,164086,,Brooklyn
5/30/21,42874,5230-88265,Sag Harbor
5/30/21,2014-655030-Sola,,Lindenhurst
5/30/21,110249,,Staten Island
5/30/21,48109,4968-84523,Hempstead
5/30/21,72746,,Stony Point
5/30/21,73287,,Staten Island
5/30/21,209024,,Plattsburgh
5/30/21,57124,5218-72695-GJ,Brooklyn
5/30/21,77496,,Oneonta
5/30/21,217290,,Bronx
5/30/21,67821,,Rosedale
5/30/21,187886,,BROOKLYN
5/30/21,314020,,Brooklyn
5/30/21,162068,,Bloomingburg
5/30/21,8424,4704-72493,Garden City Park
5/30/21,303396,,Rosedale
5/30/21,32807,5098-58496,Bellmore
5/30/21,177695,,Flushing
5/30/21,120390,,Staten Island
5/30/21,58037,5023-78363,Red Hook
5/30/21,52298,4704-58289,Yonkers
5/30/21,31331,5156-54414-GJ,Coram
5/30/21,158724,,Ballston Spa
5/30/21,65213,4473-100957,Woodstock
5/30/21,39507,5138-79813,New Windsor
5/30/21,113944,,Middletown
5/30/21,118816,,LaGrange
5/30/21,2014-649267-Sola,,Massapequa
5/30/21,43046,5388-87082,Yonkers
5/30/21,158769,,Jamaica
5/30/21,63115,5137-93955,Westtown
5/30/21,55724,4704-68438,Schenectady
5/30/21,43760,4704-89331,Amsterdam
5/30/21,45546,4704-79251,Amityville
5/30/21,9761,4704-87828,Brentwood
5/30/21,9400,5209-88256,Valley Stream
5/30/21,223829,,Scarsdale
5/30/21,119507,,Staten Island
5/30/21,63678,4704-95688,Utica
5/30/21,64081,4704-97026,Kingston
5/30/21,83514,,Newburgh
5/30/21,87872,,Queens
5/30/21,148712,,Brooklyn
5/30/21,155890,,Ossining
5/30/21,131286,,Brooklyn
5/30/21,174168,,Brooklyn
5/30/21,128638,,BLAUVELT
5/30/21,34700,5159-65413,Islip
5/30/21,91240,,Brooklyn
5/30/21,70473,,Staten Island
5/30/21,222241,,Brooklyn
5/30/21,111041,,Rochester
5/30/21,64156,4758-98527,Poughkeepsie
5/30/21,273109,,Yonkers
5/30/21,205988,,Queens
5/30/21,142729,,Bronx
5/30/21,159826,,Ossining
5/30/21,2013-636812-Sola,,Ronkonkoma
5/30/21,2013-629930-Sola,,Sea Cliff
5/30/21,117187,,Hyde Park
5/30/21,106389,,Brooklyn
5/30/21,181657,,Rochester
5/30/21,9855,4704-89506,Baldwin
5/30/21,10338,4742-96628-GJ,Wading River
5/30/21,2014-661174-Sola,,Babylon
5/30/21,53516,5194-62743,Huntington Station
5/30/21,60411,5098-84700,Massapequa Park
5/30/21,313433,,Suffern
5/30/21,304308,,Bayside
5/30/21,46244,4704-97389,Albany
5/30/21,35751,5293-66538-GJ,Schenectady
5/30/21,36585,4376-69555-GJ,East Rockaway
5/30/21,157674,,Port Jervis
5/30/21,65106,5066-100831,Ithaca
5/30/21,238048,,Brooklyn
5/30/21,35688,5181-66125-GJ,West Babylon
5/30/21,144639,,Yonkers
5/30/21,10540,5320-100499,Springfield Gardens
5/30/21,216752,,Mamaroneck
5/30/21,310702,,Queens
5/30/21,58637,5098-78556,West Islip
5/30/21,9500,4704-84882,Patchogue
5/30/21,72425,,Caneadea
5/30/21,194937,,Springfield Gardens
5/30/21,87575,,Brooklyn
5/30/21,207596,,Johnson City
5/30/21,58149,4944-76891,Bay Shore
5/30/21,76650,,Brooklyn
5/30/21,126737,,Altamont
5/30/21,44784,4704-93119,Cohoes
5/30/21,255411,,Yonkers
5/30/21,77984,,Beacon
5/30/21,259723,,Staten Island
5/30/21,153664,,Queens
5/30/21,108681,,Staten Island
5/30/21,105440,,Grafton
5/30/21,37642,4944-75287,Chester
5/30/21,154221,,Staten Island
5/30/21,78146,,Schenectady
5/30/21,170275,,Broadalbin
5/30/21,120662,,Hillsdale
5/30/21,209044,,Queens
5/30/21,75045,,Bronx
5/30/21,283979,,Cochecton
5/30/21,106499,,Bay Shore
5/30/21,223981,,Queens
5/30/21,35689,5159-66498,Saint James
5/30/21,34021,5159-64239,North Babylon
5/30/21,43671,4944-89293,Brooklyn
5/30/21,154511,,Briarcliff Manor
5/30/21,81373,,Hopewell JCT
5/30/21,267236,,Staten Island
5/30/21,242541,,Cold Spring
5/30/21,159378,,Queens
5/30/21,310327,,Tully
5/30/21,271960,,Yonkers
5/30/21,52923,5171-59856,Staten Island
5/30/21,65562,4944-101484,Staten Island
5/30/21,198146,,Queens
5/30/21,162403,,Queens
5/30/21,218648,,Staten Island
5/30/21,147144,,Brooklyn
5/30/21,304383,,West Haverstraw
5/30/21,297000,,Beacon
5/30/21,65590,5438-102055,Garrison
5/30/21,218639,,Ithaca
5/30/21,43864,5297-90473,Levittown
5/30/21,184896,,Staten Island
5/30/21,157484,,Queens
5/30/21,229567,,Brooklyn
5/30/21,7383,4704-61513,Oceanside
5/30/21,240094,,HAWTHORNE
5/30/21,27521,4704-45296,Troy
5/30/21,51505,5159-102303,Queens Village
5/30/21,56546,4704-70631,Poughkeepsie
5/30/21,63882,5098-96424,Bronx
5/30/21,98290,,New City
5/30/21,101860,,Rochester
5/30/21,63096,4704-93428,Yonkers
5/30/21,96655,,Staten Island
5/30/21,38676,4704-75056,Newburgh
5/30/21,189274,,Brooklyn
5/30/21,75121,,Brooklyn
5/30/21,58435,4629-78724-GJXXJW,Kings Park
5/30/21,264400,,Staten Island
5/30/21,45768,5098-95873,Queens Village
5/30/21,154936,,Queens Village
5/30/21,43834,5159-78696,Smithtown
5/30/21,8328,4355-72405-GJ,Sayville
5/30/21,98579,,Buffalo
5/30/21,64361,4704-98044,New Rochelle
5/30/21,187376,,Brooklyn
5/30/21,54340,4433-64120-GJ,Ronkonkoma
5/30/21,250217,,Yonkers
5/30/21,203151,,Kingston
5/30/21,228317,,Bayside
5/30/21,119925,,Buffalo
5/30/21,51172,4355-96552-GJ,Bethpage
5/30/21,9562,4704-84991,Manorville
5/30/21,189228,,Wappingers Falls
5/30/21,35006,4704-64528,Amsterdam
5/30/21,8000,5159-68594,Shirley
5/30/21,38870,4978-69997,Farmingdale
5/30/21,6843,4968-53921,North Baldwin
5/30/21,36329,4355-68480-GJ,Patchogue
5/30/21,66024,4944-647,Brooklyn
5/30/21,69558,,Poughkeepsie
5/30/21,38986,4944-77558,Amityville
5/30/21,44161,4704-91049,West Babylon
5/30/21,10309,4376-96212-GJ,Holbrook
5/30/21,183712,,Queens
5/30/21,29231,4704-49648,New Hyde Park
5/30/21,205148,,Larchmont
5/30/21,63644,5263-95660,Ogdensburg
5/30/21,178931,,Middletown
5/30/21,126656,,Sloansville
5/30/21,119372,,Jamaica
5/30/21,7047,5159-57100,Brentwood
5/30/21,50510,4944-79259,Valley Stream
5/30/21,211487,,Springfield Gardens
5/30/21,214093,,Pleasantville
5/30/21,117143,,rosedale
5/30/21,209334,,Monroe
5/30/21,42466,5098-85832,Homer
5/30/21,129352,,Yonkers
5/30/21,50686,4978-91358,Center Moriches
5/30/21,159325,,Williamsville
5/30/21,48310,5137-102359,Pleasantville
5/30/21,221943,,Flushing
5/30/21,229711,,Queens
5/30/21,60606,5293-84815-GJ,Seaford
5/30/21,43389,5293-89053,New City
5/30/21,158796,,S Ozone Park
5/30/21,220414,,Accord
5/30/21,221785,,Fresh Meadows
5/30/21,65596,5171-696,Ozone Park
5/30/21,77772,,Albany
5/30/21,261946,,Scarsdale
5/30/21,178048,,Syracuse
5/30/21,59986,4944-84396,Bethpage
5/30/21,128692,,Flushing
5/30/21,63454,4705-99029,Greenville
5/30/21,44106,4704-90718,Schenectady
5/30/21,309224,,White Plains
5/30/21,50546,4704-90907,North Babylon
5/30/21,103883,,Queens
5/30/21,118129,,Queens
5/30/21,55969,5293-69285-GJ,Lawrence
5/30/21,194867,,NEW WINDSOR
5/30/21,65633,4704-101645,Castleton on Hudson
5/30/21,8790,4355-81103-GJ,Northport
5/30/21,21104,4704-57815,Wantagh
5/30/21,57728,4154-77053-GJ,East Patchogue
5/30/21,108654,,Buffalo
5/30/21,47546,4376-82310,New Hyde Park
5/30/21,20699,4704-57129,Valley Stream
5/30/21,63397,4704-94336,Whitesboro
5/30/21,148225,,Woodside
5/30/21,68345,,Queens
5/30/21,2013-530534-Sola,,Mastic Beach
5/30/21,292444,,Dobbs Ferry
5/30/21,229031,,Colden
5/30/21,73732,,Dobbs Ferry
5/30/21,160402,,Schenectady
5/30/21,55843,4704-68788,Schenectady
5/30/21,62557,4704-91555,Bronx
5/30/21,42620,5098-87020,Queens
5/30/21,8768,4355-78539-GJ,Mastic
5/30/21,261969,,Brooklyn
5/30/21,42884,4704-87603,West Babylon
5/30/21,273692,,Jamaica
5/30/21,60658,5098-84112,West Nyack
5/30/21,210673,,Brooklyn
5/30/21,82680,,Staten Island
5/30/21,275817,,Queens
5/30/21,21009,5098-53796,New Hyde Park
5/30/21,64697,4708-101784,Hudson
5/30/21,221949,,JAMAICA
5/30/21,65520,5397-101520,East Greenbush
5/30/21,71497,,South Richmond Hill
5/30/21,40781,5159-78659,East Meadow
5/30/21,167200,,Brooklyn
5/30/21,64408,4704-98500,Middletown
5/30/21,162242,,Queens
5/30/21,93334,,South Ozone Park
5/30/21,147123,,Springfield Gardens
5/30/21,48048,4968-84465,Farmingdale
5/30/21,79111,,Pine Plains
5/30/21,129999,,Ithaca
5/30/21,174350,,Queens
5/30/21,40265,4376-80074,Seaford
5/30/21,8460,5159-78669,Islip Terrace
5/30/21,271690,,Bellerose
5/30/21,94197,,Staten Island
5/30/21,46308,5245-97998,ROSEDALE
5/30/21,83299,,Queens
5/30/21,97945,,Wappingers Falls
5/30/21,80383,,Jamaica
5/30/21,182598,,Randolph
5/30/21,40176,5159-71662-RC,Brookhaven
5/30/21,47108,4944-99834,Queens
5/30/21,2014-639933-Sola,,Lake Ronkonkoma
5/30/21,278936,,Homer
5/30/21,111653,,Brooklyn
5/30/21,312712,,Yonkers
5/30/21,2014-664767-Sola,,Amityville
5/30/21,46586,4355-81241-GJ,Wheatley Heights
5/30/21,115219,,Bronx
5/30/21,122120,,Croton on Hudson
5/30/21,205832,,Saint Albans
5/30/21,30274,5137-51856,West Babylon
5/30/21,87463,,Bronx
5/30/21,128977,,Grand Island
5/30/21,65229,5397-100797,Slingerlands
5/30/21,118311,,Esperence
5/30/21,41897,5100-83969,Schenectady
5/30/21,109320,,Queens
5/30/21,186613,,Queens
5/30/21,234938,,Queens VLG
5/30/21,275860,,Brooklyn
5/30/21,50314,4154-63456,Water Mill
5/30/21,41999,5098-83682,Clayton
5/30/21,46646,5138-99776,Astoria
5/30/21,223579,,Yonkers
5/30/21,158149,,Poughkeepsie
5/30/21,267388,,Wappingers Falls
5/30/21,301825,,Elmsford
5/30/21,45911,5098-96441,Staten Island
5/30/21,45975,4564-97137,New City
5/30/21,302528,,Yonkers
5/30/21,118395,,Endicott
5/30/21,84406,,Troy
5/30/21,69449,,Clifton Park
5/30/21,158295,,Peekskill
5/30/21,120389,,Pittsford
5/30/21,78084,,Jamaica
5/30/21,77377,,Queens
5/30/21,49025,4704-85567,Schenectady
5/30/21,49236,5247-85874,Harford
5/30/21,128745,,Oakland Gardens
5/30/21,54115,5098-63559,Middle Island
5/30/21,263188,,Staten Island
5/30/21,265399,,Bellerose
5/30/21,235565,,Poughkeepsie
5/30/21,56255,4814-70202,Staten Island
5/30/21,183247,,Jamaica
5/30/21,111368,,Bronx
5/30/21,187982,,Brooklyn
5/30/21,128685,,Williamsville
5/30/21,41604,4944-83049,Bronx
5/30/21,164942,,Staten Island
5/30/21,76002,,Brooklyn
5/30/21,306900,,Staten Island
5/30/21,41652,4704-84564,Melville
5/30/21,9620,4704-85403,Newburgh
5/30/21,41683,4704-83385,Corinth
5/30/21,153161,,Elmsford
5/30/21,33526,4704-60840,Troy
5/30/21,114774,,ALBANY
5/30/21,56366,4874-70484,Dix Hills
5/30/21,81063,,Troy
5/30/21,221852,,JAMAICA
5/30/21,65550,4944-101481,Springfield Gardens
5/30/21,64803,4704-99690,Blauvelt
5/30/21,60874,4704-85560,Delmar
5/30/21,211135,,Port Chester
5/30/21,19184,5159-52288,Shelter Island
5/30/21,9611,4704-86378,Center Moriches
5/30/21,60350,4116-89610,Uniondale
5/30/21,32504,4355-61378-GJ,Ridge
5/30/21,297257,,Rock Hill
5/30/21,6637,4704-47338,Port Jefferson
5/30/21,76795,,Queens
5/30/21,50553,5142-90822-GJ,Syosset
5/30/21,172027,,BROOKLYN
5/30/21,157675,,OSSINING
5/30/21,157445,,Sunnyside
5/30/21,50390,4874-69107,Island Park
5/30/21,45500,4704-95547,Wappingers Falls
5/30/21,64516,4116-99868,Fredonia
5/30/21,114664,,ALBANY
5/30/21,210632,,Queens
5/30/21,63355,4704-94545,Hampton Bays
5/30/21,73755,,West Haverstraw
5/30/21,10052,4978-91432,Seaford
5/30/21,166263,,Bronx
5/30/21,99850,,Haines Falls
5/30/21,64710,5425-99367,Fishkill
5/30/21,21294,5098-54632,Holtsville
5/30/21,61358,5321-89954,Belle Terre
5/30/21,118719,,Queens
5/30/21,223545,,Queens
5/30/21,34178,5156-62493-GJ,Ronkonkoma
5/30/21,7447,4355-63485-GJ,Patchogue
5/30/21,186701,,Niskayuna
5/30/21,155509,,ORANGEBURG
5/30/21,111359,,Goshen
5/30/21,212888,,Staten Island
5/30/21,152730,,Snyder
5/30/21,287331,,Brooklyn
5/30/21,118643,,Springfield Gardens
5/30/21,40763,5137-80671,Wappingers Falls
5/30/21,2013-635340-Sola,,Patchogue
5/30/21,19727,4704-54803,Mastic Beach
5/30/21,134985,,Albany
5/30/21,65898,4944-102398,Brooklyn
5/30/21,39655,5321-78771,Commack
5/30/21,303699,,New Windsor
5/30/21,303406,,Staten Island
5/30/21,312531,,Johnson City
5/30/21,172341,,Brooklyn
5/30/21,42524,5098-86604,Holbrook
5/30/21,277046,,Flushing
5/30/21,68080,,Cohoes
5/30/21,50934,4629-92851,Middle Island
5/30/21,164190,,Staten Island
5/30/21,115089,,Tonawanda
5/30/21,97140,,Schenectady
5/30/21,7705,5159-66491,Holbrook
5/30/21,45033,4704-93854,Syosset
5/30/21,152928,,Fresh Meadows
5/30/21,280764,,Brooklyn
5/30/21,61416,4704-88288,Bellport
5/30/21,88817,,Staten Island
5/30/21,158875,,Flushing
5/30/21,81844,,Nyack
5/30/21,7797,4704-66393,Long Beach
5/30/21,166943,,Queens
5/30/21,119025,,Yonkers
5/30/21,54845,4116-69750,Buffalo
5/30/21,46556,4704-98802,Nyack
5/30/21,215254,,Brooklyn
5/30/21,89230,,Orchard Park
5/30/21,303013,,QUEENS
5/30/21,111667,,Depew
5/30/21,48098,4704-101819,Ballston Spa
5/30/21,30584,4154-52424-GJ,Bayport
5/30/21,192610,,Brooklyn
5/30/21,35560,5153-66133,Farmingdale
5/30/21,9778,5159-89107,Holbrook
5/30/21,117743,,Staten Island
5/30/21,163162,,BRONX
5/30/21,31105,4704-53733,Wantagh
5/30/21,121016,,Nanuet
5/30/21,59639,4704-81425,Brentwood
5/30/21,61749,4160-89594-GJ,Commack
5/30/21,40911,4704-81414,Centereach
5/30/21,105479,,Ozone Park
5/30/21,138396,,Bronx
5/30/21,153472,,Bronx
5/30/21,247103,,Scarsdale
5/30/21,207562,,BROOKLYN
5/30/21,41222,5195-81919,Boonville
5/30/21,65651,4944-101750,Queens Village
5/30/21,273514,,Mount Kisco
5/30/21,212186,,JAMAICA
5/30/21,70169,,New City
5/30/21,48342,4704-102245,Athens
5/30/21,36450,4704-66746,Central Islip
5/30/21,65533,5397-101794,Troy
5/30/21,213110,,PORT JERVIS
5/30/21,94204,,Williamsville
5/30/21,100840,,Queens
5/30/21,315093,,Lake George
5/30/21,58245,4160-77794-GJ,North Babylon
5/30/21,46365,5373-97881,POUGHKEEPSIE
5/30/21,121210,,Queens
5/30/21,113876,,Queens
5/30/21,302036,,Schenectady
5/30/21,139044,,Queens
5/30/21,9628,4704-86412,Baldwin
5/30/21,152939,,Jamaica
5/30/21,112535,,Houghton
5/30/21,2014-645868-Sola,,North Babylon
5/30/21,72526,,Bronx
5/30/21,59304,5098-90673,Troy
5/30/21,113300,,Queens
5/30/21,93551,,Queens
5/30/21,74906,,Cortlandt Mnr
5/30/21,104670,,Staten Island
5/30/21,71340,,Bronx
5/30/21,51570,5400-102779,Queens Village
5/30/21,258637,,New Rochelle
5/30/21,15120,4704-41289,Yonkers
5/30/21,229659,,Queens
5/30/21,62982,4704-93226,Brentwood
5/30/21,188336,,Queens
5/30/21,110286,,Phoenix
5/30/21,60587,4704-83729,Middletown
5/30/21,248791,,Milton
5/30/21,211645,,Queens
5/30/21,163944,,Queens
5/30/21,235892,,Queens
5/30/21,186667,,Bronx
5/30/21,183320,,White Plains
5/30/21,230561,,Monroe
5/30/21,128608,,Scotia
5/30/21,65795,4704-102120,Hyde Park
5/30/21,101807,,Schenectady
5/30/21,63092,5245-98581,Jamaica
5/30/21,9668,4704-86622,Brentwood
5/30/21,153864,,TAPPAN
5/30/21,75921,,Jamica
5/30/21,41394,4704-82753,Ballston Spa
5/30/21,88490,,SPRING VALLEY
5/30/21,299358,,Rockaway Park
5/30/21,81435,,Lake George
5/30/21,101888,,Peekskill
5/30/21,63085,4629-93588-GJ,Selden
5/30/21,153273,,Staten Island
5/30/21,230656,,Brooklyn
5/30/21,29193,4704-49638,Franklin Square
5/30/21,91768,,Jamaica
5/30/21,41802,5273-83860,Ozone Park
5/30/21,39556,4704-70471,Bethpage
5/30/21,65157,4116-101411,Fredonia
5/30/21,59573,4704-81374,Centereach
5/30/21,88690,,Woodbury
5/30/21,165895,,Brooklyn
5/30/21,84134,,Brooklyn
5/30/21,106377,,Staten Island
5/30/21,121348,,queens
5/30/21,61213,5098-86215,Poughkeepsie
5/30/21,83178,,New City
5/30/21,37355,4376-71802-GJ,Glen Cove
5/30/21,253509,,Staten Island
5/30/21,280062,,Ozone Park
5/30/21,114042,,Ballston Lake
5/30/21,78667,,SOUTH OZONE PARK
5/30/21,210235,,JAMAICA
5/30/21,61568,5273-89237,Far Rockaway
5/30/21,239127,,Yonkers
5/30/21,220934,,Rochester
5/30/21,194988,,Brooklyn
5/30/21,102323,,Queens
5/30/21,183636,,TARRYTOWN
5/30/21,31098,5159-53689,Kings Park
5/30/21,234851,,Brooklyn
5/30/21,102351,,Fresh Meadows
5/30/21,118675,,Yorktown Heights
5/30/21,94911,,Saint Albans
5/30/21,187698,,Bronx
5/30/21,62621,5098-91713,Lockport
5/30/21,288835,,Middletown
5/30/21,93530,,Staten Island
5/30/21,38130,4629-81581-GJ,Brentwood
5/30/21,204076,,Staten Island
5/30/21,2014-666202-Sola,,Central Islip
5/30/21,64088,4704-97133,Oneonta
5/30/21,40075,5023-71039,Old Westbury
5/30/21,289541,,Jamaica
5/30/21,119929,,Staten Island
5/30/21,57545,5138-75430,Whitestone
5/30/21,48510,4704-102837,Schenectady
5/30/21,95458,,FLUSHING
5/30/21,89262,,Queens Village
5/30/21,43069,5098-87348,Middletown
5/30/21,167156,,West Haverstraw
5/30/21,213564,,Hartsdale
5/30/21,168210,,JAMAICA
5/30/21,178892,,Queens
5/30/21,165365,,Syracuse
5/30/21,272346,,Staten Island
5/30/21,79033,,Bronx
5/30/21,179203,,Brooklyn
5/30/21,219402,,Queens
5/30/21,79367,,Brooklyn
5/30/21,178953,,Flushing
5/30/21,40088,4704-78965,Fishkill
5/30/21,31344,5098-54422,Elmont
5/30/21,116028,,Queens
5/30/21,8152,5159-70386,Kings Park
5/30/21,95550,,Staten Island
5/30/21,222725,,Stony Point
5/30/21,161487,,GLENS FALLS
5/30/21,72181,,Schenectady
5/30/21,2014-663066-Sola,,Wantagh
5/30/21,51195,5245-97587,JAMAICA
5/30/21,56958,5170-76911,Manorville
5/30/21,33521,5153-61990,Nesconset
5/30/21,43313,5098-89479,Seaford
5/30/21,158946,,Staten Island
5/30/21,63787,5245-97543,BROOKLYN
5/30/21,19704,4594-51466,West Babylon
5/30/21,175382,,Brooklyn
5/30/21,304025,,Springfield Gardens
5/30/21,128533,,Newburgh
5/30/21,40062,4154-79329,Wantagh
5/30/21,166827,,Kenmore
5/30/21,52227,5098-59929,Baldwin
5/30/21,94956,,Depew
5/30/21,164337,,Liverpool
5/30/21,91689,,Wurtsboro
5/30/21,59439,5098-89886,Holbrook
5/30/21,221645,,Saint Albans
5/30/21,254635,,Staten Island
5/30/21,93727,,Hawthorne
5/30/21,65426,5388-101077,Croton On Hudson
5/30/21,226968,,Endicott
5/30/21,65955,5438-102738,Eastchester
5/30/21,112446,,Hopewell JCT
5/30/21,281308,,Staten Island
5/30/21,48237,5438-102912,Garnerville
5/30/21,92972,,Schenectady
5/30/21,52657,4154-58672-GJ,Coram
5/30/21,57612,5321-73472,East Meadow
5/30/21,288986,,Springfield Gardens
5/30/21,300700,,Fresh Meadows
5/30/21,154752,,Brooklyn
5/30/21,48693,4944-926,Queens Village
5/30/21,155085,,Flushing
5/30/21,59236,4704-80169,Hampton Bays
5/30/21,164391,,Brooklyn
5/30/21,63640,5098-95736,New City
5/30/21,70103,,Bronx
5/30/21,45323,5321-94844-MI,North Bellmore
5/30/21,113068,,Staten Island
5/30/21,215022,,Brooklyn
5/30/21,2013-539712-Sola,,Syosset
5/30/21,210197,,Queens
5/30/21,265665,,Glenford
5/30/21,181675,,Brooklyn
5/30/21,127887,,Queens
5/30/21,158595,,Brooklyn
5/30/21,43338,5178-90788-IRH,Calverton
5/30/21,51054,4376-94524,Mineola
5/30/21,87703,,Yonkers
5/30/21,301409,,Tappan
5/30/21,234740,,Queens
5/30/21,72708,,Staten Island
5/30/21,137775,,Middletown
5/30/21,173197,,Staten Island
5/30/21,101441,,Margaretville
5/30/21,282000,,Mount Vernon
5/30/21,34321,5140-63876,Franklin Square
5/30/21,48737,4704-946,Yonkers
5/30/21,105011,,Brooklyn
5/30/21,226372,,Brooklyn
5/30/21,155616,,Brooklyn
5/30/21,41198,5247-73178,Newfield
5/30/21,183694,,BRONX
5/30/21,121594,,queens
5/30/21,29305,5137-49947,Amityville
5/30/21,190838,,Woodstock
5/30/21,45370,5138-94699,Montgomery
5/30/21,39066,4629-82162-GJ,N Babylon
5/30/21,108062,,Cooperstown
5/30/21,141984,,Lockport
5/30/21,119852,,Queens
5/30/21,113512,,Springfield Gardens
5/30/21,21876,5098-56715,Amagansett
5/30/21,229875,,Brooklyn
5/30/21,72994,,Bellrose
5/30/21,154134,,POUGHKEEPSIE
5/30/21,90757,,Webster
5/30/21,42917,5098-87049,Queens Village
5/30/21,44122,4160-91320,Wantagh
5/30/21,286618,,Ossining
5/30/21,122893,,Briarcliff Manor
5/30/21,146462,,Pelham
5/30/21,293493,,Staten Island
5/30/21,163463,,Brooklyn
5/30/21,45126,4704-93918,Monroe
5/30/21,42470,4944-86597,Mastic
5/30/21,41100,5209-81524,East Meadow
5/30/21,20523,4704-52623,Bohemia
5/30/21,58882,5098-80824,Carmel
5/30/21,62360,4704-90577,Westerlo
5/30/21,174229,,Queens
5/30/21,64220,4704-97386,Albany
5/30/21,110167,,Staten Island
5/30/21,44837,4704-93128,Johnstown
5/30/21,65492,5397-101348,Watervliet
5/30/21,43575,4376-89852-GJ,Island Park
5/30/21,33850,5126-62445,Pound Ridge
5/30/21,35083,5023-64830,Maspeth
5/30/21,40515,4704-80000,Warwick
5/30/21,280758,,Mamaroneck
5/30/21,215515,,Queens
5/30/21,307346,,Croton-on-Hudson
5/30/21,118498,,College Point
5/30/21,62221,5098-90750,Chester
5/30/21,72528,,Schuylerville
5/30/21,100501,,Middletown
5/30/21,62747,5140-93289YYGJ-IRH,Baldwin
5/30/21,177206,,Feura Bush
5/30/21,298843,,Howard Beach
5/30/21,44927,4758-94253,Pine Bush
5/30/21,129021,,Queens
5/30/21,292882,,Staten Island
5/30/21,43484,5098-90249,Buffalo
5/30/21,81479,,Brooklyn
5/30/21,46730,4704-99115,Fort Plain
5/30/21,59160,5209-89394,Wantagh
5/30/21,152463,,Rosedale
5/30/21,218357,,Queens
5/30/21,62628,5098-93134,Brewster
5/30/21,147695,,Staten Island
5/30/21,88107,,Ancram
