Reporting Period,Project Number,Legacy Project Number,City
6/30/21,53966,4968-63529,Hempstead
6/30/21,72777,,Baldwin
6/30/21,164679,,New Hyde Park
6/30/21,164833,,Staten Island
6/30/21,259161,,Seaford
6/30/21,2225,17947-1,Melville
6/30/21,35077,4704-64818,Riverhead
6/30/21,251341,,Brooklyn
6/30/21,237072,,Queens
6/30/21,77487,,Merrick
6/30/21,241698,,Jericho
6/30/21,54939,4502-69553-GJ,East Northport
6/30/21,9625,4355-87483-GJ,Miller Place
6/30/21,275807,,MASSAPEQUA PARK
6/30/21,262559,,Brooklyn
6/30/21,172337,,Staten Island
6/30/21,262070,,Bayside
6/30/21,179394,,Bronx
6/30/21,238818,,Jamaica
6/30/21,159879,,Mamaroneck
6/30/21,38089,4704-68529,Brentwood
6/30/21,41228,4704-82297,Lynbrook
6/30/21,255952,,Queens
6/30/21,84510,,Levittown
6/30/21,258471,,Flushing
6/30/21,266158,,Port Jefferson Station
6/30/21,275056,,Jamaica
6/30/21,300870,,Brooklyn
6/30/21,45608,4704-95691,Clifton Park
6/30/21,272338,,Mattituck
6/30/21,38251,5098-76548,Sea Cliff
6/30/21,40950,4704-81440,Floral Park
6/30/21,58257,5170-80268XX-IRH,setauket
6/30/21,8671,4704-76872,Roosevelt
6/30/21,257116,,The Bronx
6/30/21,180930,,Jamaica
6/30/21,114889,,Bronx
6/30/21,7922,4704-67568,Port Jefferson Station
6/30/21,152854,,Williston Park
6/30/21,238742,,THORNWOOD
6/30/21,58752,5194-79544 GJ,Patchogue
6/30/21,214511,,Brooklyn
6/30/21,259727,,White Plains
6/30/21,46958,4629-0124-Financing,Long Beach
6/30/21,155013,,Wantagh
6/30/21,101154,,Massapequa
6/30/21,20995,4704-57541,Centerport
6/30/21,2507,58,Montauk
6/30/21,167184,,Bronx
6/30/21,111882,,Brooklyn
6/30/21,235944,,BRONX
6/30/21,39218,4704-69986,Shirley
6/30/21,288056,,Brooklyn
6/30/21,223217,,Center Moriches
6/30/21,303572,,Woodhaven
6/30/21,296502,,Jamaica
6/30/21,264501,,Staten Island
6/30/21,245443,,Levittown
6/30/21,50395,5160-69813,Levittown
6/30/21,2509,19,Great Neck
6/30/21,110946,,Tonawanda
6/30/21,122382,,BRONX
6/30/21,8408,4704-72458,Central Islip
6/30/21,152432,,Bethpage
6/30/21,70372,,Woodmere
6/30/21,9000,5159-80302,Middle Island
6/30/21,46836,4704-81362,Valley Stream
6/30/21,316591,,Glen Oaks
6/30/21,262423,,Hollis
6/30/21,290287,,Fresh Meadows
6/30/21,161578,,Peekskill
6/30/21,7954,4704-67834,West Islip
6/30/21,8505,4355-75557-GJ,Hicksville
6/30/21,298049,,Brooklyn
6/30/21,280,01001-00022,Liverpool
6/30/21,165103,,Staten Island
6/30/21,240680,,Queens
6/30/21,43342,5098-89496,Oyster Bay
6/30/21,43133,4944-89202,Hicksville
6/30/21,170165,,Wantagh
6/30/21,2686,2062-2,Southampton
6/30/21,90610,,South Salem
6/30/21,148352,,Queens
6/30/21,7146,4704-57891,Brentwood
6/30/21,63382,4704-94566,Bay Shore
6/30/21,141955,,Queens
6/30/21,155302,,North Bellmore
6/30/21,262294,,Staten Island
6/30/21,92749,,Ronkonkoma
6/30/21,2330,17942-12,Highland
6/30/21,181932,,Bronx
6/30/21,252883,,East Northport
6/30/21,190799,,Orchard Park
6/30/21,168390,,Bronx
6/30/21,94851,,Accord
6/30/21,9993,4978-91021,Lindenhurst
6/30/21,209352,,Brooklyn
6/30/21,314068,,Jamaica
6/30/21,260030,,Jamaica
6/30/21,142575,,Elmont
